"/* Jun Da: Modern Chinese Character Frequency List */",,,,,
"/* 笪骏现代汉语单字频率列表 */",,,,,
"/* http://lingua.mtsu.edu */",,,,,
"/* 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。 */",,,,,
"/* 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html */",,,,,
"序列号","汉字","频率","累计频率(%)","拼音","英文翻译"
46,"过",589925,29.37,"guo4","(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-"
47,"发",572904,29.66,"fa1/fa4","to send out/to show (one's feeling)/to issue/to develop, hair"
48,"后",570764,29.96,"hou4","empress/queen/surname, back/behind/rear/afterwards/after/later"
49,"作",542791,30.24,"zuo4","to regard as/to take (somebody) for/to do/to make"
50,"里",537795,30.52,"li3","inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown"
51,"用",535480,30.79,"yong4","to use"
52,"道",534695,31.07,"dao4","direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk"
53,"行",531848,31.35,"hang2/xing2/xing4","a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct"
54,"所",523028,31.62,"suo3","actually/place"
55,"然",511026,31.88,"ran2","correct/right/so/thus/like this/-ly"
56,"家",509790,32.14,"jia1","furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession"
57,"种",503344,32.4,"zhong3/zhong4","kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate"
58,"事",499172,32.66,"shi4","matter/thing/item/work/affair"
59,"成",499007,32.92,"cheng2/cheng4","finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth"
60,"方",492763,33.17,"fang1","square/quadrilateral/direction/just"
61,"多",481689,33.42,"duo1","many/much/a lot of/numerous/multi-"
62,"经",481338,33.67,"jing1","classics/sacred book/pass through/to undergo/scripture"
63,"么",477969,33.92,"ma/me/yao1","(interrog. part.), (interrog. suff.), one on dice/small"
64,"去",476270,34.17,"qu4","to go/to leave/to remove"
65,"法",466816,34.41,"fa3","law/method/way/Buddhist teaching/Legalist/France (abbrev.)"
66,"学",464261,34.65,"xue2","learn/study/science/-ology"
67,"如",449036,34.88,"ru2","as (if)/such as"
68,"都",439568,35.11,"dou1/du1","all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city"
69,"同",437611,35.33,"tong2","like/same/similar/together/alike/with"
70,"现",433960,35.56,"xian4","appear/present/now/existing/current"
71,"当",429274,35.78,"dang1/dang4","to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"
72,"没",428146,36,"mei2/mo4","(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate"
73,"动",426839,36.22,"dong4","to use/to act/to move/to change"
74,"面",425180,36.44,"mian4","fade/side/surface/aspect/top/face/flour/noodles, flour/noodles"
75,"起",424933,36.66,"qi3","to rise/to raise/to get up"
76,"看",424616,36.88,"kan1/kan4","to look after/to take care of/to watch/to guard, it depends/think/to see/to look at"
77,"定",422538,37.1,"ding4","to set/to fix/to determine/to decide/to order"
78,"天",419884,37.31,"tian1","day/sky/heaven"
79,"分",419382,37.53,"fen1/fen4","to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part"
80,"还",415855,37.75,"hai2/huan2/huan4","also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return"
81,"进",412166,37.96,"jin4","advance/enter/to come in"
82,"好",411866,38.17,"hao3/hao4","good/well, be fond of"
83,"小",410987,38.38,"xiao3","small/tiny/few/young"
84,"部",403066,38.59,"bu4","ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)"
85,"其",403028,38.8,"qi2","his/her/its/theirs/that/such/it (refers to sth preceding it)"
86,"些",400528,39.01,"xie1","some/few/several/(a measure word)"
87,"主",399693,39.21,"zhu3","to own/to host/master/lord/primary"
88,"样",398149,39.42,"yang4","manner/pattern/way/appearance/shape"
89,"理",398087,39.63,"li3","reason/logic/science/inner principle or structure"
90,"心",392228,39.83,"xin1","heart/mind"
91,"她",388612,40.03,"ta1","she"
92,"本",388118,40.23,"ben3","roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)"
93,"前",381431,40.43,"qian2","before/in front/ago/former/previous/earlier/front"
94,"开",377012,40.62,"kai1","open/operate (vehicle)/start"
95,"但",374459,40.81,"dan4","but/yet/however/only/merely/still"
96,"因",371612,41.01,"yin1","cause/reason/because"
97,"只",370059,41.2,"qi2/zhi1/zhi3","earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only"
98,"从",369958,41.39,"cong1/cong2/zong4","lax/yielding/unhurried, from/obey/observe/follow, second cousin"
99,"想",368819,41.58,"xiang3","to think/to believe/to suppose/to wish/to want/to miss"
100,"实",368494,41.77,"shi2","real/true/honest/really/solid"
101,"日",363763,41.96,"ri4","Japan/day/sun/date/day of the month"
102,"军",362526,42.15,01-Jun,"army/military/arms"
103,"者",360974,42.33,"zhe3","-ist, -er (person)/person (who does sth)"
104,"意",360232,42.52,"yi4","idea/meaning/wish/desire/(abbr.) Italy"
105,"无",359265,42.7,"wu2","-less/not to have/no/none/not/to lack/un-"
106,"力",359136,42.89,"li4","power/force/strength"
107,"它",346173,43.07,"ta1","it"
108,"与",345532,43.25,"yu2/yu3/yu4","(interrog. part.), and/to give/together with, take part in"
109,"长",342148,43.42,"chang2/zhang3","length/long/forever/always/constantly, chief/head/elder/to grow/to develop"
110,"把",340730,43.6,"ba3/ba4","(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle"
111,"机",339823,43.78,"ji1","machine/opportunity/secret"
112,"十",338954,43.95,"shi2","ten/10"
113,"民",335796,44.12,"min2","the people/nationality/citizen"
114,"第",325780,44.29,"di4","(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"
115,"公",318626,44.46,"gong1","just/honorable (designation)/public/common"
116,"此",318534,44.62,"ci3","this/these"
117,"已",318143,44.79,"yi3","already/to stop/then/afterwards"
118,"工",317532,44.95,"gong1","work/worker/skill/profession/trade/craft/labor"
119,"使",316273,45.11,"shi3","to make/to cause/to enable/to use/to employ/messenger"
120,"情",312900,45.28,"qing2","feeling/emotion/passion/situation"
121,"明",309873,45.44,"ming2","clear/bright/to understand/next/the Ming dynasty"
122,"性",309844,45.6,"xing4","sex/nature/surname/suffix corresponding to -ness or -ity"
123,"知",306384,45.75,"zhi1","to know/to be aware"
124,"全",305248,45.91,"quan2","all/whole/entire/every/complete"
125,"三",304272,46.07,"san1","three/3"
126,"又",302933,46.23,"you4","(once) again/also/both... and.../again"
127,"关",302473,46.38,"guan1","(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve"
128,"点",300800,46.54,"dian3","(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)"
129,"正",296810,46.69,"zheng1/zheng4","Chinese 1st month of year, just (right)/main/upright/straight/correct/principle"
130,"业",296169,46.84,"ye4","business/occupation/study"
131,"外",295645,47,"wai4","outside/in addition/foreign/external"
132,"将",295586,47.15,"jiang1/jiang4","(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"
133,"两",294600,47.3,"liang3","both/two/ounce/some/a few/tael"
134,"高",293542,47.45,"gao1","high/tall"
135,"间",292227,47.6,"jian1/jian4","between/among/space/(measure word), interstice/separate"
136,"由",292199,47.76,"you2","follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)"
137,"问",288237,47.9,"wen4","to ask"
138,"很",284252,48.05,"hen3","very/extremely"
139,"最",283689,48.2,"zui4","(the) most/-est"
140,"重",282843,48.34,"chong2/zhong4","to double/to repeat/repetition/iteration/again/a layer, heavy/serious"
141,"并",281616,48.49,"bing4","and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with"
142,"物",281146,48.63,"wu4","thing/object/matter"
143,"手",280442,48.78,"shou3","hand/convenient"
144,"应",280384,48.92,"ying1/ying4","ought, (surname)/to answer/to respond"
145,"战",278776,49.07,"zhan4","to fight/fight/war/battle"
146,"向",276986,49.21,"xiang4","direction/part/side/towards/to/guide/opposite to, guide/opposite to"
147,"头",274911,49.35,"tou2/tou","head, suff. for nouns"
148,"文",274222,49.5,"wen2","language/culture/writing/formal/literary"
149,"体",273792,49.64,"ti3","body/form/style/system"
150,"政",269878,49.78,"zheng4","political/politics/government"
151,"美",269452,49.92,"mei3","America/beautiful"
152,"相",269125,50.06,"xiang1/xiang4","each other/one another/mutually, appearance/portrait/picture"
153,"见",269080,50.19,"jian4/xian4","to see/to meet/to appear (to be sth)/to interview, appear"
154,"被",268905,50.33,"bei4","by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear"
155,"利",268813,50.47,"li4","advantage/benefit/profit/sharp"
156,"什",267869,50.61,"shen2/shi2","what, tenth (used in fractions)"
157,"二",267506,50.75,"er4","two/2"
158,"等",266296,50.89,"deng3","class/rank/grade/equal to/same as/wait for/await/et cetera/and so on"
159,"产",265164,51.02,"chan3","to reproduce/to produce/give birth/products/produce/resources/estate/property"
160,"或",260786,51.16,"huo4","maybe/perhaps/might/possibly/or"
161,"新",253921,51.29,"xin1","meso- (chem.)/new/newly"
162,"己",250894,51.42,"ji3","6th heavenly stem/self"
163,"制",250754,51.55,"zhi4","system/to make/to manufacture/to control/to regulate, manufacture"
164,"身",249725,51.68,"shen1","body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit"
165,"果",246831,51.81,"guo3","fruit/result"
166,"加",243648,51.93,"jia1","to add/plus"
167,"西",243619,52.06,"xi1","west"
168,"斯",240900,52.18,"si1","(phonetic)/this"
169,"月",240566,52.31,"yue4","moon/month"
170,"话",240067,52.43,"hua4","dialect/language/spoken words/speech/talk/words/conversation/what someone said"
171,"合",239277,52.55,"ge3/he2","one-tenth of a peck, Chinese musical note/fit/to join"
172,"回",239243,52.68,"hui2","(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam"
173,"特",239091,52.8,"te2/te4","special/unusual/extraordinary, male animal/special (-ly)"
174,"代",231734,52.92,"dai4","substitute/replace/generation/dynasty/geological era/era/age/period"
175,"内",231331,53.04,"nei4","inside/inner/internal/within/interior"
176,"信",230248,53.16,"xin4","letter/true/to believe/sign/evidence"
177,"表",226768,53.28,"biao3","surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external"
178,"化",224729,53.39,"hua4","to make into/to change into/-ization/to ... -ize/to transform"
179,"老",223050,53.51,"lao3","(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)"
180,"给",217815,53.62,"gei3/ji3","to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide"
181,"世",214990,53.73,"shi4","life/age/generation/era/world/lifetime"
182,"位",214983,53.84,"wei4","position/location/(measure word for persons)/place/seat"
183,"次",214857,53.95,"ci4","nth/number (of times)/order/sequence/next/second(ary)/(measure word)"
184,"度",214376,54.06,"du4","capacity/degree/standard"
185,"门",212769,54.17,"men2","opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)"
186,"任",212485,54.28,"ren4","to assign/to appoint/office/responsibility"
187,"常",212309,54.39,"chang2","always/ever/often/frequently/common/general/constant"
188,"先",210628,54.5,"xian1","early/prior/former/in advance/first"
189,"海",209302,54.61,"hai3","ocean/sea"
190,"通",209046,54.72,"tong1","go through/know well/to connect/to communicate/open"
191,"教",208875,54.83,"jiao1/jiao4","teach, religion/teaching"
192,"儿",207827,54.93,"er2/er","son, non-syllabic dimi. suff."
193,"原",207579,55.04,"yuan2","former/original/primary/raw/level/cause/source"
194,"东",206238,55.15,"dong1","east"
195,"声",206083,55.25,"sheng1","sound/voice/(a measure word, used for sounds)/tone/noise"
196,"提",205159,55.36,"di1/ti2","carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention"
197,"立",204985,55.47,"li4","set up/to stand"
198,"及",202671,55.57,"ji2","to reach/and"
199,"比",200645,55.67,"bi3/bi4","(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near"
200,"员",200217,55.78,"yuan2","person/employee/member"
201,"解",200090,55.88,"jie3/jie4/xie4","to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)"
202,"水",198933,55.98,"shui3","water/river"
203,"名",198481,56.09,"ming2","name/(measure word for persons)/place (e.g. among winners)"
204,"真",198416,56.19,"zhen1","real/true/genuine"
205,"论",197165,56.29,"lun2/lun4","the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss"
206,"处",194237,56.39,"chu3/chu4","to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect"
207,"走",193619,56.49,"zou3","to walk/to go/to move"
208,"义",193507,56.59,"yi4","justice/righteousness/meaning"
209,"各",193435,56.69,"ge4","each/every"
210,"入",192433,56.79,"ru4","to enter"
211,"几",192355,56.89,"ji1/ji3","small table, almost, a few/how many, how much/how many/several/a few"
212,"口",191936,56.99,"kou3","mouth/(a measure word)"
213,"认",191866,57.09,"ren4","to recognize/to know/to admit"
214,"条",191280,57.19,"tiao2","measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article"
215,"平",191267,57.29,"ping2","flat/level/equal/to make the same score/to tie/to draw/calm/peaceful"
216,"系",190769,57.39,"xi4","be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie"
217,"气",190687,57.48,"qi4","air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged"
218,"题",189921,57.58,"ti2","topic/subject/to inscribe/to superscribe"
219,"活",189876,57.68,"huo2","to live/alive/living/work/workmanship"
220,"尔",189785,57.78,"er3","thus/so/like that/you/thou"
221,"更",187378,57.88,"geng1/geng4","to change, more/even more/further/still/still more"
222,"别",186634,57.97,"bie2/bie4","leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward"
223,"打",186146,58.07,"da2/da3","dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from"
224,"女",185188,58.16,"nu:3/nv3","female/woman"
225,"变",185121,58.26,"bian4","to change/to become different/to transform/to vary/rebellion"
226,"四",184874,58.35,"si4","four/4"
227,"神",184554,58.45,"shen2","God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being"
228,"总",184470,58.55,"zong3","always/to assemble/gather/total/overall/head/chief/general/in every case"
229,"何",184335,58.64,"he2","carry/what/how/why/which"
230,"电",183834,58.74,"dian4","electric/electricity/electrical"
231,"数",183312,58.83,"shu3/shu4/shuo4","to count, number/figure/to count/to calculate/several, frequently/repeatedly"
232,"安",183210,58.92,"an1","content/calm/still/quiet/to pacify/peace"
233,"少",183018,59.02,"shao3/shao4","few/little/lack, young"
234,"报",182411,59.11,"bao4","to announce/to inform/report/newspaper/recompense/revenge"
235,"才",181725,59.21,"cai2","ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until"
236,"结",181674,59.3,"jie1/jie2","knot/sturdy/to bear (fruit)/bond/to tie/to bind"
237,"反",181385,59.4,"fan3","wrong side out or up/anti-"
238,"受",180928,59.49,"shou4","to bear/to stand/to endure/(passive marker)/to receive"
239,"目",180827,59.58,"mu4","eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title"
240,"太",180490,59.68,"tai4","highest/greatest/too (much)/very/extremely"
241,"量",180008,59.77,"liang2/liang4","to measure, capacity/quantity/amount/to estimate"
242,"再",179607,59.86,"zai4","again/once more/re-/second/another"
243,"感",178383,59.95,"gan3","to feel/to move/to touch/to affect"
244,"建",178289,60.05,"jian4","to establish/to found/to set up/to build/to construct"
245,"务",176085,60.14,"wu4","affair/business/matter"
246,"做",175580,60.23,"zuo4","to do/to make/to produce"
247,"接",175473,60.32,"jie1","to extend/to connect/to receive/to join"
248,"必",174963,60.41,"bi4","certainly/must/will/necessarily"
249,"场",173632,60.5,"chang3","a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)"
250,"件",172895,60.59,"jian4","a measure word for thing, clothes, item"
251,"计",171949,60.68,"ji4","to calculate/to compute/to count/reckon/ruse/to plan"
252,"管",170746,60.76,"guan3","to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe"
253,"期",169806,60.85,"qi1","a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope"
254,"市",169522,60.94,"shi4","market/city"
255,"直",169439,61.03,"zhi2","straight/vertical/frank/directly/straightly/upright"
256,"德",168917,61.12,"de2","Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind"
257,"资",168890,61.2,"zi1","resources/capital/to provide/to supply/to support/money/expense"
258,"命",168358,61.29,"ming4","life/fate"
259,"山",168142,61.38,"shan1","mountain/hill"
260,"金",167912,61.46,"jin1","metal/money/gold"
261,"指",166865,61.55,"zhi3","finger/to point/to direct/to indicate"
262,"克",166044,61.63,"ke4","gram/subdue/to restrain/to overcome, subdue"
263,"许",166034,61.72,"xu3","to allow/to permit/to praise/(surname)"
264,"统",165820,61.81,"tong3","to gather/to unite/to unify/whole"
265,"区",164775,61.89,"ou1/qu1","Ou (surname), area/region/district/small/distinguish"
266,"保",164424,61.98,"bao3","to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard"
267,"至",163582,62.06,"zhi4","arrive/most/to/until"
268,"队",162938,62.15,"dui4","squadron/team/group"
269,"形",162049,62.23,"xing2","to appear/to look/form/shape"
270,"社",159527,62.31,"she4","society/group"
271,"便",159479,62.39,"bian4/pian2","ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap"
272,"空",158539,62.48,"kong1/kong4","air/sky/empty/in vain, emptied/leisure"
273,"决",157959,62.56,"jue2","breach (a dyke)/to decide/to determine"
274,"治",156904,62.64,"zhi4","to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal"
275,"展",156759,62.72,"zhan3","to use/to spread out/to postpone/to unfold"
276,"马",155772,62.8,"ma3","horse/horse chess piece/Surname"
277,"科",155750,62.88,"ke1","branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody"
278,"司",155229,62.96,"si1","company/control"
279,"五",154316,63.04,"wu3","five/5"
280,"基",153462,63.12,"ji1","base/foundation/basic/radical (chem.)"
281,"眼",152079,63.2,"yan3","eye"
282,"书",151357,63.28,"shu1","book/letter"
283,"非",149915,63.35,"fei1","non-/not-/un-"
284,"则",149042,63.43,"ze2","(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle"
285,"听",148988,63.51,"ting1/ting4","listen/hear/obey, let/allow"
286,"白",148728,63.59,"bai2","white/snowy/empty/blank/bright/clear/plain/pure/gratuitous"
287,"却",148679,63.66,"que4","but/yet/however/while/to go back/to decline/to retreat/nevertheless"
288,"界",148438,63.74,"jie4","boundary/scope/extent/circles/group/kingdom (taxonomy)"
289,"达",147907,63.82,"da2","attain/pass through/achieve/reach/realize/clear/inform/notify/dignity"
290,"光",147639,63.89,"guang1","light/ray/bright"
291,"放",147600,63.97,"fang4","to release/to free/to let go/to put/to place/to let out"
292,"强",146665,64.04,"qiang2","strength/force/power/powerful/better"
293,"即",146459,64.12,"ji2","namely/right away/to approach/to draw near"
294,"像",145291,64.19,"xiang4","(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem"
295,"难",144597,64.27,"nan2/nan4","difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold"
296,"且",144597,64.34,"qie3","further/moreover"
297,"权",144506,64.42,"quan2","authority/power/right"
298,"思",144503,64.49,"si1","to think/to consider"
299,"王",143948,64.57,"wang2","king/Wang (proper name)"
300,"象",143453,64.64,"xiang4","shape/form/appearance/elephant/image under a map (math.)"
301,"完",143120,64.72,"wan2","to finish/to be over/whole/complete/entire"
302,"设",142742,64.79,"she4","to set up/to arrange/to establish/to found/to display"
303,"式",142292,64.86,"shi4","type/form/pattern/style"
304,"色",142231,64.94,"se4/shai3","color/look/appearance, color/dice"
305,"路",141812,65.01,"lu4","(surname)/road/path/way"
306,"记",139501,65.08,"ji4","to remember/to note/mark/sign/to record"
307,"南",139078,65.15,"nan2","south"
308,"品",138528,65.23,"pin3","conduct/grade/thing/product/good"
309,"住",138503,65.3,"zhu4","to live/to dwell/to reside/to stop"
310,"告",138285,65.37,"gao4","to tell/to inform/to say"
311,"类",138280,65.44,"lei4","kind/type/class/category/similar/like/to resemble"
312,"求",138216,65.51,"qiu2","to seek/to look for/to request/to demand/to beseech"
313,"据",137990,65.58,"ju1/ju4","sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy"
314,"程",136962,65.65,"cheng2","rule/order/regulations/formula/journey/procedure/sequence/a surname"
315,"北",136939,65.72,"bei3","north"
316,"边",136277,65.79,"bian1","side/edge/margin/border/boundary"
317,"死",136194,65.86,"si3","to die/inpassable/uncrossable/inflexible/rigid"
318,"张",136087,65.94,"zhang1","(a measure word)/(a surname)/open up"
319,"该",136053,66.01,"gai1","that/the above-mentioned/most likely/to deserve/should/ought to/owe"
320,"交",135727,66.08,"jiao1","to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)"
321,"规",134528,66.15,"gui1","compass/rule"
322,"万",134220,66.21,"wan4","Wan (surname)/ten thousand/a great number"
323,"取",134102,66.28,"qu3","to take/to get/to choose/to fetch"
324,"拉",134051,66.35,"la1","to pull/to play (string instruments)/to drag/to draw"
325,"格",133986,66.42,"ge2","frame/rule"
326,"望",133145,66.49,"wang4","hope/expect/to visit/to gaze (into the distance)/look towards/towards"
327,"觉",132041,66.56,"jiao4/jue2","a nap/a sleep, feel/find that/thinking/awake/aware"
328,"术",131634,66.63,"shu4/zhu2","method/technique, Atractylis lancea var. ovata"
329,"领",130993,66.69,"ling3","neck/collar/to lead/to receive"
330,"共",128824,66.76,"gong4","all together/in while/to share/common/general/together"
331,"确",128417,66.83,"que4","authenticated/solid/firm, authenticated/solid/firm/real/true"
332,"传",128186,66.89,"chuan2/zhuan4","to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography"
333,"师",128086,66.96,"shi1","a division (milit.)/teacher/master/expert/model"
334,"观",127796,67.03,"guan1/guan4","to look at/to watch/to observe/to behold, Taoist monastery"
335,"清",127716,67.09,"qing1","clear/distinct/complete/pure"
336,"今",126624,67.16,"jin1","today/modern/present/current/this/now"
337,"切",126391,67.22,"qie1/qie4","to cut/to slice, close to"
338,"院",126115,67.29,"yuan4","courtyard/institution"
